partida_id,clube,cartao,atleta,minuto
4987,Chapecoense,Amarelo,Rafael Lima,73
4987,Coritiba,Amarelo,Leandro Almeida,29
4987,Chapecoense,Amarelo,Bruno César Pereira da Silva,82
4987,Coritiba,Amarelo,Hélder,70
4988,Palmeiras,Amarelo,Gabriel Girotto Franco,22
4988,Atletico-MG,Amarelo,Josué Anunciado de Oliveira,75
4988,Atletico-MG,Amarelo,Jô,23
4988,Palmeiras,Amarelo,Róbson Michael Signorini,51
4988,Atletico-MG,Amarelo,Pedro Botelho,90+6
4988,Atletico-MG,Amarelo,Patric Cabral Lalau,30
4989,Fluminense,Amarelo,Wagner Ferreira dos Santos,73
4989,Joinville,Vermelho,Marinaldo dos Santos Oliveira,24
4989,Fluminense,Amarelo,Vinícius,80
4989,Joinville,Amarelo,Marinaldo dos Santos Oliveira,13
4990,Gremio,Amarelo,Walace,67
4990,Gremio,Amarelo,Rafael Galhardo,30
4990,Ponte Preta,Amarelo,Josimar,69
4990,Ponte Preta,Amarelo,Rildo de Andrade Felicissimo,29
4990,Gremio,Amarelo,Yuri Mamute,55
4990,Ponte Preta,Amarelo,Renato Cajá,72
4990,Ponte Preta,Amarelo,Tiago dos Santos Alves,49
4990,Ponte Preta,Amarelo,Biro-Biro,9
4990,Ponte Preta,Vermelho,Tiago dos Santos Alves,89
4993,Cruzeiro,Amarelo,Willians Domingos Fernandes,59
4993,Cruzeiro,Amarelo,Gabriel Xavier,20
4993,Cruzeiro,Amarelo,Charles Fernando Basílio da Silva,31
4993,Corinthians,Amarelo,Edílson Mendes Guimarães,7
4994,Sport,Amarelo,Régis,84
4994,Figueirense,Amarelo,Marquinhos Pedroso,40
4994,Figueirense,Vermelho,Bruno Alves,77
4994,Figueirense,Amarelo,Nirley da Silva Fonseca,60
4994,Figueirense,Amarelo,Bruno Alves,22
4991,Athletico-PR,Amarelo,Carlos Eduardo Santos Oliveira,57
4991,Internacional,Amarelo,Adniellyson da Silva Oliveira,62
4991,Internacional,Amarelo,Alan Ruschel,90
4992,Sao Paulo,Amarelo,Hudson,30
4992,Sao Paulo,Amarelo,Paulo Henrique Ganso,48
4992,Flamengo,Amarelo,Lucas Mugni,76
4996,Vasco,Amarelo,Christianno,68
4996,Vasco,Amarelo,Dagoberto Pelentier,33
4996,Goias,Amarelo,Rafael Forster,83
4996,Goias,Amarelo,Ygor Maciel Santiago,40
4996,Vasco,Amarelo,Luan Garcia Teixeira,38
4996,Goias,Amarelo,Alex Alves Cardoso,89
4996,Goias,Amarelo,Felipe Macedo,52
4996,Goias,Amarelo,Wesley,32
4995,Avai,Amarelo,Eltinho,90+5
4995,Santos,Amarelo,Neuciano Gusmão,87
4995,Avai,Amarelo,Anderson Lopes,72
4995,Santos,Amarelo,Gustavo Henrique Vernes,63
