partida_id,clube,posse_de_bola,passes,faltas,impedimentos,escanteios
4987,Coritiba,0.55,388,21,0,5
4987,Chapecoense,0.45,326,20,3,3
4988,Palmeiras,0.5,406,20,2,11
4988,Atletico-MG,0.5,426,14,4,2
4989,Fluminense,0.74,702,9,1,5
4989,Joinville,0.26,250,14,1,3
4990,Gremio,0.45,401,17,2,5
4990,Ponte Preta,0.55,473,21,0,10
4993,Corinthians,0.44,391,15,2,4
4993,Cruzeiro,0.56,487,17,4,2
4994,Sport,0.54,449,17,0,7
4994,Figueirense,0.46,391,14,3,1
4991,Athletico-PR,0.39,335,17,1,2
4991,Internacional,0.61,502,17,1,11
4992,Flamengo,0.46,430,12,6,6
4992,Sao Paulo,0.54,502,17,1,4
4996,Goias,0.38,279,27,2,2
4996,Vasco,0.62,439,16,0,4
4995,Avai,0.51,462,10,2,4
4995,Santos,0.49,452,11,2,3
4997,Goias,0.41,334,14,0,6
4997,Athletico-PR,0.59,477,18,1,5
4998,Coritiba,0.43,353,22,3,2
4998,Gremio,0.57,456,13,4,4
4999,Chapecoense,0.54,487,13,5,2
4999,Corinthians,0.46,437,16,1,7
5000,Figueirense,0.47,381,18,3,6
5000,Vasco,0.53,436,13,0,7
5001,Atletico-MG,0.54,466,17,1,7
5001,Fluminense,0.46,411,9,2,0
5002,Sport,0.41,373,7,1,3
5002,Flamengo,0.59,492,10,6,13
5003,Cruzeiro,0.56,445,13,5,3
5003,Santos,0.44,351,18,2,15
5006,Internacional,0.57,451,17,2,4
5006,Avai,0.43,345,26,4,9
5004,Joinville,0.39,377,17,5,1
5004,Palmeiras,0.61,589,12,3,5
5005,Ponte Preta,0.4,373,15,5,6
5005,Sao Paulo,0.6,549,14,1,4
5008,Vasco,0.61,466,15,1,8
5008,Internacional,0.39,312,16,0,1
5007,Joinville,0.37,380,11,1,0
5007,Sao Paulo,0.63,642,12,3,5
5009,Gremio,0.63,536,16,1,11
5009,Figueirense,0.37,326,24,1,4
5010,Goias,0.26,171,24,1,6
5010,Palmeiras,0.74,445,13,5,13
5011,Santos,0.6,462,20,3,5
5011,Chapecoense,0.4,307,13,3,4
5012,Athletico-PR,0.36,324,7,4,2
5012,Atletico-MG,0.64,537,8,3,9
5013,Fluminense,0.42,355,19,2,9
5013,Corinthians,0.58,500,6,3,6
5014,Avai,0.43,338,15,0,4
5014,Flamengo,0.57,443,17,7,2
5015,Cruzeiro,0.54,390,17,3,16
5015,Ponte Preta,0.46,357,11,4,3
5016,Sport,0.49,388,13,1,2
5016,Coritiba,0.51,385,17,0,5
5017,Ponte Preta,0.47,438,20,1,0
5017,Chapecoense,0.53,483,15,0,4
5018,Coritiba,0.58,413,17,3,5
5018,Avai,0.42,310,21,0,3
5019,Athletico-PR,0.46,399,13,4,7
5019,Joinville,0.54,464,12,1,4
5020,Santos,0.54,472,9,6,8
5020,Sport,0.46,415,11,0,7
5022,Vasco,0.47,413,12,3,7
5022,Atletico-MG,0.53,457,16,2,5
5021,Goias,0.41,345,14,0,2
5021,Gremio,0.59,495,14,1,3
5024,Internacional,0.54,516,19,3,5
5024,Sao Paulo,0.46,434,17,3,10
5023,Corinthians,0.54,477,21,4,2
5023,Palmeiras,0.46,409,21,3,6
5025,Fluminense,0.33,253,23,0,1
5025,Flamengo,0.67,475,24,1,8
5026,Figueirense,0.32,266,17,2,5
5026,Cruzeiro,0.68,545,11,1,4
5027,Athletico-PR,0.47,385,12,1,6
5027,Figueirense,0.53,442,8,5,4
5028,Vasco,0.52,441,15,0,6
5028,Ponte Preta,0.48,417,18,3,2
5029,Joinville,0.47,314,12,1,10
5029,Chapecoense,0.53,349,16,1,7
