partida_id,clube,atleta,minuto,tipo_de_gol
4987,Coritiba,Rafhael Lucas,3,gol normal
4987,Chapecoense,Roger Rodrigues da Silva,66,gol normal
4987,Chapecoense,Elicarlos,30,gol normal
4988,Palmeiras,Vitor Hugo Franchescoli de Souza,82,gol normal
4988,Atletico-MG,Jô,86,gol normal
4988,Atletico-MG,Patric Cabral Lalau,51,gol normal
4988,Palmeiras,Rafael Marques Mariano,90,gol normal
4989,Fluminense,Vinícius,88,gol normal
4990,Ponte Preta,Renato Cajá,62,gol normal
4990,Gremio,Matías Rodríguez,78,gol normal
4990,Ponte Preta,Diego Oliveira,90,gol normal
4990,Gremio,Yuri Mamute,54,gol normal
4990,Ponte Preta,Rildo de Andrade Felicissimo,64,gol normal
4990,Gremio,Yuri Mamute,25,gol normal
4993,Corinthians,Ángel Romero,82,gol normal
4994,Sport,Diego Souza,78,Penalty
4994,Sport,Régis,88,gol normal
4994,Sport,Diego Souza,64,Penalty
4994,Sport,Matheus Ferraz Pereira,20,gol normal
4994,Figueirense,Renê Rodrigues Martins,68,Gol Contra
4991,Athletico-PR,Paulo Marcos de Jesus Ribeiro,69,Gol Contra
4991,Athletico-PR,Walter Henrique da Silva,14,gol normal
4991,Athletico-PR,Felipe de Oliveira Silva,66,Penalty
4992,Sao Paulo,Luís Fabiano,74,gol normal
4992,Flamengo,Éverton Cardoso da Silva,86,Penalty
4992,Sao Paulo,Alexandre Pato,80,gol normal
4995,Santos,Robinho,27,gol normal
4995,Avai,Marquinhos Santos,64,gol normal
4997,Goias,Bruno Henrique,81,gol normal
4997,Goias,Bruno Henrique,55,gol normal
4998,Coritiba,Frickson Erazo,34,Gol Contra
4998,Coritiba,Thiago Galhardo,27,gol normal
4999,Corinthians,Fábio Santos,28,gol normal
5001,Atletico-MG,Jemerson de Jesus Nascimento,37,gol normal
5001,Atletico-MG,Jemerson de Jesus Nascimento,7,gol normal
5001,Atletico-MG,Luan Madson Gedeão de Paiva,81,gol normal
5001,Fluminense,Fred,89,Penalty
5001,Atletico-MG,Jesús Dátolo,53,gol normal
5002,Flamengo,Éverton Cardoso da Silva,90,gol normal
5002,Flamengo,Héctor Canteros,74,gol normal
5002,Sport,Diego Souza,45,Penalty
5002,Sport,José Élber Pimentel da Silva,69,gol normal
5003,Santos,Geuvânio,45,gol normal
5006,Internacional,Victor Vinícius Coelho Santos,63,gol normal
5005,Ponte Preta,Renato Cajá,14,gol normal
5008,Vasco,Lucas Santos Siqueira,81,gol normal
5008,Internacional,Nilmar,45,gol normal
5007,Sao Paulo,Alexandre Pato,86,gol normal
5007,Sao Paulo,Michel Bastos,58,gol normal
5007,Sao Paulo,Matheus Dória Macedo,11,gol normal
5009,Gremio,Braian Rodríguez,78,gol normal
5010,Goias,Victor Ramos,76,Gol Contra
5011,Chapecoense,Apodi,21,gol normal
5012,Athletico-PR,Douglas Coutinho,40,gol normal
5014,Flamengo,Gabriel Santana,51,gol normal
5014,Avai,Hugo da Silva Cabral,62,gol normal
5014,Avai,Hugo da Silva Cabral,47,gol normal
5015,Cruzeiro,Charles Fernando Basílio da Silva,82,gol normal
5015,Ponte Preta,Biro-Biro,85,gol normal
5016,Sport,Neto,29,gol normal
5017,Ponte Preta,Biro-Biro,48,gol normal
5017,Ponte Preta,Tiago dos Santos Alves,6,gol normal
5017,Chapecoense,José Gildeixon Clemente de Paiva,89,gol normal
5017,Ponte Preta,Renato Cajá,90,gol normal
5018,Avai,Anderson Lopes,1,gol normal
5018,Coritiba,Paulinho Moccelin,50,gol normal
5018,Avai,Roberto César Zardin Rodrigues,79,gol normal
5019,Athletico-PR,Douglas Coutinho,33,gol normal
5019,Athletico-PR,Nikão,30,gol normal
5019,Joinville,Rafael Costa,65,gol normal
5020,Sport,Samuel Xavier,90,gol normal
5020,Sport,Joelinton Cassio Apolinário de Lira,51,gol normal
5020,Santos,Werley Ananias da Silva,70,gol normal
5020,Santos,Robinho,43,gol normal
5022,Atletico-MG,Thiago Ribeiro,44,gol normal
5022,Atletico-MG,Thiago Ribeiro,12,gol normal
5022,Atletico-MG,Jesús Dátolo,20,gol normal
5021,Gremio,Giuliano Victor de Paula,36,gol normal
5021,Goias,Rodrigo Vasconcelos Oliveira,52,gol normal
5023,Palmeiras,Zé Roberto,45,gol normal
5023,Palmeiras,Rafael Marques Mariano,25,gol normal
5025,Flamengo,Alecsandro,37,gol normal
5025,Fluminense,Marcos Rogério Ricci Lopes,33,Gol Contra
5025,Fluminense,Fred,8,Penalty
5025,Fluminense,Fred,46,gol normal
5025,Flamengo,Eduardo da Silva,86,gol normal
5026,Figueirense,Carlos Alberto Gomes de Jesus,50,gol normal
5026,Figueirense,Marcos Roberto da Silva Barbosa,36,gol normal
5026,Cruzeiro,Henrique Pacheco Lima,41,gol normal
5027,Athletico-PR,Nikão,20,gol normal
5028,Ponte Preta,Tiago dos Santos Alves,39,gol normal
5028,Ponte Preta,Diego Oliveira,1,gol normal
5028,Ponte Preta,Borges,78,gol normal
5029,Chapecoense,Bruno César Pereira da Silva,29,gol normal
5029,Chapecoense,Ananias Elói Castro Monteiro,11,gol normal
5030,Sao Paulo,Rogério Ceni,85,Penalty
5030,Sao Paulo,Michel Bastos,33,gol normal
5030,Santos,Ricardo Oliveira,47,gol normal
5030,Santos,Ricardo Oliveira,45,gol normal
5030,Sao Paulo,Paulo Miranda,50,gol normal
5033,Corinthians,Stiven Mendoza,23,gol normal
5033,Gremio,Luan Guilherme de Jesus Vieira,39,gol normal
5033,Gremio,Marcelo Oliveira Ferreira,4,gol normal
5033,Gremio,Giuliano Victor de Paula,3,gol normal
5032,Atletico-MG,Lucas Pratto,68,gol normal
5032,Atletico-MG,Carlos Júnior,77,gol normal
5032,Atletico-MG,Carlos Júnior,13,gol normal
5032,Avai,André Lima,74,gol normal
5032,Atletico-MG,Antonio Carlos Capocasali,24,Gol Contra
5031,Cruzeiro,Manoel Messias Silva Carvalho,78,gol normal
5034,Fluminense,Marcos Júnior,88,gol normal
5034,Fluminense,Vinícius,30,gol normal
5035,Sport,Maikon Leite,90,gol normal
5036,Palmeiras,Vitor Hugo Franchescoli de Souza,64,gol normal
5036,Internacional,Rafael Moura,76,gol normal
5038,Flamengo,Gabriel Santana,65,gol normal
5037,Cruzeiro,Marcos Antônio da Silva Gonçalves,72,gol normal
5037,Cruzeiro,Gabriel Xavier,46,gol normal
5037,Atletico-MG,Luan Madson Gedeão de Paiva,13,gol normal
5037,Cruzeiro,Jemerson de Jesus Nascimento,45,Gol Contra
5039,Ponte Preta,Renato Cajá,72,gol normal
5039,Ponte Preta,Felipe Azevedo,53,gol normal
5039,Santos,Geuvânio,23,gol normal
5039,Santos,Ricardo Oliveira,61,Penalty
5041,Corinthians,Jadson,31,gol normal
5040,Athletico-PR,Nikão,60,Penalty
5040,Athletico-PR,Ytalo José dos Santos,90,gol normal
5042,Sao Paulo,Rogério Ceni,56,Penalty
5042,Sao Paulo,Luís Fabiano,27,gol normal
5043,Internacional,Victor Vinícius Coelho Santos,26,gol normal
5043,Internacional,Nilmar,36,gol normal
5045,Avai,Rômulo,90,gol normal
5044,Palmeiras,Gabriel Girotto Franco,11,gol normal
5044,Figueirense,Thiago Santos Santana,62,gol normal
5044,Figueirense,Carlos Alberto Gomes de Jesus,8,gol normal
5047,Santos,Gabriel Barbosa,54,gol normal
5047,Atletico-MG,Werley Ananias da Silva,28,Gol Contra
5047,Santos,Ricardo Oliveira,19,gol normal
5047,Atletico-MG,Jesús Dátolo,43,gol normal
5050,Corinthians,Vágner Love,67,gol normal
5050,Corinthians,Jadson,51,gol normal
5050,Internacional,Nilmar,41,gol normal
5049,Sao Paulo,Josef de Souza Dias,6,gol normal
5048,Flamengo,Eduardo da Silva,39,gol normal
5051,Joinville,Marcelinho Paraíba,79,gol normal
5051,Sport,Maikon Leite,39,gol normal
5051,Sport,Maikon Leite,16,gol normal
5052,Cruzeiro,Charles Fernando Basílio da Silva,58,gol normal
5052,Cruzeiro,Leandro Damião,74,gol normal
5052,Cruzeiro,Leandro Damião,38,gol normal
5052,Vasco,Rodrigo Baldasso da Costa,88,gol normal
5055,Palmeiras,Jonatan Cristaldo,90,gol normal
5055,Palmeiras,Rafael Marques Mariano,45,gol normal
5055,Fluminense,Jean Raphael Vanderlei Moreira,17,gol normal
5054,Figueirense,Marcos Roberto da Silva Barbosa,15,gol normal
5054,Avai,Anderson Lopes,36,gol normal
5056,Athletico-PR,Hernani Azevedo Junior,52,gol normal
5056,Gremio,Luiz Rhodolfo Dini Gaioto,71,gol normal
5056,Gremio,Giuliano Victor de Paula,33,gol normal
5058,Vasco,Duvier Riascos,42,gol normal
5058,Sport,Wendel Geraldo Maurício e Silva,81,gol normal
5058,Sport,André Felipe Ribeiro de Souza,20,gol normal
5059,Atletico-MG,Samir,22,Gol Contra
5059,Atletico-MG,Lucas Pratto,41,gol normal
5060,Santos,Ricardo Oliveira,10,gol normal
5061,Gremio,Maicon,55,gol normal
5062,Chapecoense,Camilo,36,gol normal
5063,Joinville,Everton Kempes dos Santos Gonçalves,35,gol normal
5063,Goias,Wesley,26,gol normal
5063,Joinville,Everton Kempes dos Santos Gonçalves,45,gol normal
5065,Avai,André Lima,89,gol normal
5065,Sao Paulo,Josef de Souza Dias,55,gol normal
5064,Athletico-PR,Edigar Junio,82,gol normal
5064,Athletico-PR,Walter Henrique da Silva,25,gol normal
5064,Coritiba,Ruy Franco de Almeida Junior,77,gol normal
5064,Coritiba,Wellington Paulista,19,gol normal
5066,Fluminense,Vinícius,90,gol normal
5066,Fluminense,Wellington do Nascimento Silva,55,gol normal
5067,Avai,Anderson Lopes,56,Penalty
5067,Gremio,Luan Guilherme de Jesus Vieira,10,gol normal
5067,Gremio,Pedro Rocha Neves,1,gol normal
5068,Sport,Rithely,29,gol normal
5068,Chapecoense,Bruno Rangel,88,gol normal
5069,Figueirense,Thiago Santos Santana,73,gol normal
5069,Corinthians,Vágner Love,55,gol normal
5069,Corinthians,Jadson,65,Penalty
5070,Atletico-MG,Leonardo Silva,34,gol normal
5071,Palmeiras,Rafael Marques Mariano,58,gol normal
5071,Palmeiras,Victor Ramos,41,gol normal
5071,Palmeiras,Leandro,32,gol normal
5071,Palmeiras,Jonatan Cristaldo,72,gol normal
5072,Fluminense,Edson Felipe da Cruz,62,gol normal
5072,Fluminense,Wagner Ferreira dos Santos,53,gol normal
