"partida_id","data","mandante","visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_placar","visitante_placar","mandante_estado","visitante_estado","Ano","Ano do Campeonato","Jogo","Equipe","Mando","GP","GS","P","J","V","E","D","SG"
"4987","42133","Chapecoense","Coritiba","V. Eutrópio","M. dos Santos Gonçalves","Chapecoense","Arena Condá","2","1","SC","PR","2015","2015","Chapecoense x Coritiba","Chapecoense","casa","2","1","3","1","1","0","0","1"
"4987","42133","Chapecoense","Coritiba","V. Eutrópio","M. dos Santos Gonçalves","Chapecoense","Arena Condá","2","1","SC","PR","2015","2015","Chapecoense x Coritiba","Coritiba","fora","1","2","0","1","0","0","1","-1"
"4988","42133","Palmeiras","Atletico-MG","O. de Oliveira Filho","L. Culpi","-","Allianz Parque","2","2","SP","MG","2015","2015","Palmeiras x Atletico-MG","Palmeiras","casa","2","2","1","1","0","1","0","0"
"4988","42133","Palmeiras","Atletico-MG","O. de Oliveira Filho","L. Culpi","-","Allianz Parque","2","2","SP","MG","2015","2015","Palmeiras x Atletico-MG","Atletico-MG","fora","2","2","1","1","0","1","0","0"
"4989","42133","Fluminense","Joinville","S. Drubscky de Campos","H. Maria","Fluminense"," Maracanã","1","0","RJ","SC","2015","2015","Fluminense x Joinville","Fluminense","casa","1","0","3","1","1","0","0","1"
"4989","42133","Fluminense","Joinville","S. Drubscky de Campos","H. Maria","Fluminense"," Maracanã","1","0","RJ","SC","2015","2015","Fluminense x Joinville","Joinville","fora","0","1","0","1","0","0","1","-1"
"4990","42134","Gremio","Ponte Preta","L. Scolari","A. Ferreira","-","Arena do Grêmio","3","3","RS","SP","2015","2015","Gremio x Ponte Preta","Gremio","casa","3","3","1","1","0","1","0","0"
"4990","42134","Gremio","Ponte Preta","L. Scolari","A. Ferreira","-","Arena do Grêmio","3","3","RS","SP","2015","2015","Gremio x Ponte Preta","Ponte Preta","fora","3","3","1","1","0","1","0","0"
"4993","42134","Cruzeiro","Corinthians","M. de Oliveira Santos","A. Bacchi","Corinthians","Arena Pantanal","0","1","MG","SP","2015","2015","Cruzeiro x Corinthians","Cruzeiro","casa","0","1","0","1","0","0","1","-1"
"4993","42134","Cruzeiro","Corinthians","M. de Oliveira Santos","A. Bacchi","Corinthians","Arena Pantanal","0","1","MG","SP","2015","2015","Cruzeiro x Corinthians","Corinthians","fora","1","0","3","1","1","0","0","1"
"4994","42134","Sport","Figueirense","E. Baptista","A. Fucks","Sport","Adelmar da Costa Carvalho","4","1","PE","SC","2015","2015","Sport x Figueirense","Sport","casa","4","1","3","1","1","0","0","3"
"4994","42134","Sport","Figueirense","E. Baptista","A. Fucks","Sport","Adelmar da Costa Carvalho","4","1","PE","SC","2015","2015","Sport x Figueirense","Figueirense","fora","1","4","0","1","0","0","1","-3"
"4991","42134","Athletico-PR","Internacional","M. Mendes","D. Aguirre Camblor","Athletico-PR","Estádio Joaquim Américo Guimarães","3","0","PR","RS","2015","2015","Athletico-PR x Internacional","Athletico-PR","casa","3","0","3","1","1","0","0","3"
